Date,sp500,nasdaq_composite,dow_jones,russell_2000,vix
2023-04-06,4105.02001953125,12087.9599609375,33485.2890625,1754.4599609375,18.399999618530273
2023-04-10,4109.10986328125,12084.3603515625,33586.51953125,1772.43994140625,18.969999313354492
2023-04-11,4108.93994140625,12031.8798828125,33684.7890625,1786.5899658203125,19.100000381469727
2023-04-12,4091.949951171875,11929.33984375,33646.5,1773.699951171875,19.09000015258789
2023-04-13,4146.22021484375,12166.26953125,34029.69140625,1796.6800537109375,17.799999237060547
2023-04-14,4137.64013671875,12123.4697265625,33886.46875,1781.1500244140625,17.06999969482422
2023-04-17,4151.31982421875,12157.7197265625,33987.1796875,1802.8399658203125,16.950000762939453
2023-04-18,4154.8701171875,12153.41015625,33976.62890625,1795.550048828125,16.829999923706055
2023-04-19,4154.52001953125,12157.23046875,33897.01171875,1799.43994140625,16.459999084472656
2023-04-20,4129.7900390625,12059.5595703125,33786.62109375,1789.699951171875,17.170000076293945
2023-04-21,4133.52001953125,12072.4599609375,33808.9609375,1791.510009765625,16.770000457763672
2023-04-24,4137.0400390625,12037.2001953125,33875.3984375,1788.8699951171875,16.889999389648438
2023-04-25,4071.6298828125,11799.16015625,33530.828125,1745.949951171875,18.760000228881836
2023-04-26,4055.989990234375,11854.349609375,33301.87109375,1730.4100341796875,18.84000015258789
2023-04-27,4135.35009765625,12142.240234375,33826.16015625,1751.219970703125,17.030000686645508
2023-04-28,4169.47998046875,12226.580078125,34098.16015625,1768.989990234375,15.779999732971191
2023-05-01,4167.8701171875,12212.599609375,34051.69921875,1769.2099609375,16.079999923706055
2023-05-02,4119.580078125,12080.509765625,33684.53125,1732.1099853515625,17.780000686645508
2023-05-03,4090.75,12025.330078125,33414.23828125,1739.280029296875,18.34000015258789
2023-05-04,4061.219970703125,11966.400390625,33127.73828125,1718.81005859375,20.09000015258789
2023-05-05,4136.25,12235.41015625,33674.37890625,1759.8800048828125,17.190000534057617
2023-05-08,4138.1201171875,12256.919921875,33618.69140625,1754.469970703125,16.979999542236328
2023-05-09,4119.169921875,12179.5498046875,33561.80859375,1749.6800537109375,17.709999084472656
2023-05-10,4137.64013671875,12306.4404296875,33531.328125,1759.510009765625,16.940000534057617
2023-05-11,4130.6201171875,12328.509765625,33309.51171875,1744.7099609375,16.93000030517578
2023-05-12,4124.080078125,12284.740234375,33300.62109375,1740.8499755859375,17.030000686645508
2023-05-15,4136.27978515625,12365.2099609375,33348.6015625,1761.550048828125,17.1200008392334
2023-05-16,4109.89990234375,12343.0498046875,33012.140625,1736.1800537109375,17.989999771118164
2023-05-17,4158.77001953125,12500.5703125,33420.76953125,1774.5,16.8700008392334
2023-05-18,4198.0498046875,12688.83984375,33535.91015625,1784.8599853515625,16.049999237060547
2023-05-19,4191.97998046875,12657.900390625,33426.62890625,1773.719970703125,16.809999465942383
2023-05-22,4192.6298828125,12720.7802734375,33286.578125,1795.3800048828125,17.209999084472656
2023-05-23,4145.580078125,12560.25,33055.51171875,1787.7099609375,18.530000686645508
2023-05-24,4115.240234375,12484.16015625,32799.921875,1767.0,20.030000686645508
2023-05-25,4151.27978515625,12698.08984375,32764.650390625,1754.5999755859375,19.139999389648438
2023-05-26,4205.4501953125,12975.6904296875,33093.33984375,1773.02001953125,17.950000762939453
2023-05-30,4205.52001953125,13017.4296875,33042.78125,1767.2900390625,17.459999084472656
2023-05-31,4179.830078125,12935.2900390625,32908.26953125,1749.6500244140625,17.940000534057617
2023-06-01,4221.02001953125,13100.98046875,33061.5703125,1767.93994140625,15.649999618530273
2023-06-02,4282.3701171875,13240.76953125,33762.76171875,1830.9100341796875,14.600000381469727
2023-06-05,4273.7900390625,13229.4296875,33562.859375,1806.7099609375,14.729999542236328
2023-06-06,4283.85009765625,13276.419921875,33573.28125,1855.4000244140625,13.960000038146973
2023-06-07,4267.52001953125,13104.900390625,33665.01953125,1888.449951171875,13.9399995803833
2023-06-08,4293.93017578125,13238.51953125,33833.609375,1880.780029296875,13.649999618530273
2023-06-09,4298.85986328125,13259.1396484375,33876.78125,1865.7099609375,13.829999923706055
2023-06-12,4338.93017578125,13461.919921875,34066.328125,1873.2099609375,15.010000228881836
2023-06-13,4369.009765625,13573.3203125,34212.12109375,1896.3299560546875,14.609999656677246
2023-06-14,4372.58984375,13626.48046875,33979.328125,1874.0999755859375,13.880000114440918
2023-06-15,4425.83984375,13782.8203125,34408.05859375,1889.280029296875,14.5
2023-06-16,4409.58984375,13689.5703125,34299.12109375,1875.469970703125,13.539999961853027
2023-06-20,4388.7099609375,13667.2900390625,34053.87109375,1866.699951171875,13.880000114440918
2023-06-21,4365.68994140625,13502.2001953125,33951.51953125,1863.010009765625,13.199999809265137
2023-06-22,4381.89013671875,13630.6103515625,33946.7109375,1848.1800537109375,12.90999984741211
2023-06-23,4348.330078125,13492.51953125,33727.4296875,1821.6300048828125,13.4399995803833
2023-06-26,4328.81982421875,13335.7802734375,33714.7109375,1823.260009765625,14.25
2023-06-27,4378.41015625,13555.669921875,33926.73828125,1849.9300537109375,13.739999771118164
2023-06-28,4376.85986328125,13591.75,33852.66015625,1858.7099609375,13.430000305175781
2023-06-29,4396.43994140625,13591.330078125,34122.421875,1881.5899658203125,13.539999961853027
2023-06-30,4450.3798828125,13787.919921875,34407.6015625,1888.72998046875,13.59000015258789
2023-07-03,4455.58984375,13816.76953125,34418.46875,1896.780029296875,13.569999694824219
2023-07-05,4446.81982421875,13791.650390625,34288.640625,1872.9100341796875,14.180000305175781
2023-07-06,4411.58984375,13679.0400390625,33922.26171875,1842.22998046875,15.4399995803833
2023-07-07,4398.9501953125,13660.7197265625,33734.87890625,1864.6600341796875,14.829999923706055
2023-07-10,4409.52978515625,13685.48046875,33944.3984375,1895.25,15.069999694824219
2023-07-11,4439.259765625,13760.7001953125,34261.421875,1913.3599853515625,14.84000015258789
2023-07-12,4472.16015625,13918.9599609375,34347.4296875,1933.3800048828125,13.539999961853027
2023-07-13,4510.0400390625,14138.5703125,34395.140625,1950.8900146484375,13.609999656677246
2023-07-14,4505.419921875,14113.7001953125,34509.03125,1931.0899658203125,13.34000015258789
2023-07-17,4522.7900390625,14244.9501953125,34585.3515625,1951.27001953125,13.479999542236328
2023-07-18,4554.97998046875,14353.6396484375,34951.9296875,1976.0699462890625,13.300000190734863
2023-07-19,4565.72021484375,14358.01953125,35061.2109375,1984.8900146484375,13.760000228881836
2023-07-20,4534.8701171875,14063.3095703125,35225.1796875,1967.1600341796875,13.989999771118164
2023-07-21,4536.33984375,14032.8095703125,35227.69140625,1960.260009765625,13.600000381469727
2023-07-24,4554.64013671875,14058.8701171875,35411.23828125,1965.6800537109375,13.90999984741211
2023-07-25,4567.4599609375,14144.5595703125,35438.0703125,1966.1099853515625,13.859999656677246
2023-07-26,4566.75,14127.2802734375,35520.12109375,1980.3599853515625,13.1899995803833
2023-07-27,4537.41015625,14050.1103515625,35282.71875,1954.9000244140625,14.40999984741211
2023-07-28,4582.22998046875,14316.66015625,35459.2890625,1981.5400390625,13.329999923706055
2023-07-31,4588.9599609375,14346.01953125,35559.53125,2003.1800537109375,13.630000114440918
2023-08-01,4576.72998046875,14283.91015625,35630.6796875,1994.1700439453125,13.930000305175781
2023-08-02,4513.39013671875,13973.4501953125,35282.51953125,1966.8299560546875,16.09000015258789
2023-08-03,4501.89013671875,13959.7197265625,35215.890625,1961.4000244140625,15.920000076293945
2023-08-04,4478.02978515625,13909.240234375,35065.62109375,1957.4599609375,17.100000381469727
2023-08-07,4518.43994140625,13994.400390625,35473.12890625,1958.93994140625,15.770000457763672
2023-08-08,4499.3798828125,13884.3203125,35314.48828125,1947.4200439453125,15.989999771118164
2023-08-09,4467.7099609375,13722.01953125,35123.359375,1930.77001953125,15.960000038146973
2023-08-10,4468.830078125,13737.990234375,35176.1484375,1922.6199951171875,15.850000381469727
2023-08-11,4464.0498046875,13644.849609375,35281.3984375,1925.1099853515625,14.84000015258789
2023-08-14,4489.72021484375,13788.330078125,35307.62890625,1920.489990234375,14.819999694824219
2023-08-15,4437.85986328125,13631.0498046875,34946.390625,1895.75,16.459999084472656
2023-08-16,4404.330078125,13474.6298828125,34765.73828125,1871.52001953125,16.780000686645508
2023-08-17,4370.35986328125,13316.9296875,34474.828125,1850.06005859375,17.889999389648438
2023-08-18,4369.7099609375,13290.7802734375,34500.66015625,1859.4200439453125,17.299999237060547
2023-08-21,4399.77001953125,13497.58984375,34463.69140625,1856.010009765625,17.1299991607666
2023-08-22,4387.5498046875,13505.8701171875,34288.828125,1850.8399658203125,16.969999313354492
2023-08-23,4436.009765625,13721.0302734375,34472.98046875,1870.030029296875,15.979999542236328
2023-08-24,4376.31005859375,13463.9697265625,34099.421875,1846.280029296875,17.200000762939453
2023-08-25,4405.7099609375,13590.650390625,34346.8984375,1853.6300048828125,15.680000305175781
2023-08-28,4433.31005859375,13705.1298828125,34559.98046875,1869.010009765625,15.079999923706055
2023-08-29,4497.6298828125,13943.759765625,34852.671875,1895.5400390625,14.449999809265137
2023-08-30,4514.8701171875,14019.3095703125,34890.23828125,1903.2099609375,13.880000114440918
2023-08-31,4507.66015625,14034.9697265625,34721.91015625,1899.6800537109375,13.569999694824219
2023-09-01,4515.77001953125,14031.8095703125,34837.7109375,1920.8299560546875,13.09000015258789
2023-09-05,4496.830078125,14020.9501953125,34641.96875,1880.449951171875,14.010000228881836
2023-09-06,4465.47998046875,13872.4697265625,34443.19140625,1874.280029296875,14.449999809265137
2023-09-07,4451.14013671875,13748.830078125,34500.73046875,1855.760009765625,14.399999618530273
2023-09-08,4457.490234375,13761.5302734375,34576.58984375,1851.5400390625,13.84000015258789
2023-09-11,4487.4599609375,13917.8896484375,34663.71875,1855.1400146484375,13.800000190734863
2023-09-12,4461.89990234375,13773.6103515625,34645.98828125,1855.3199462890625,14.229999542236328
2023-09-13,4467.43994140625,13813.58984375,34575.53125,1840.8399658203125,13.479999542236328
2023-09-14,4505.10009765625,13926.0498046875,34907.109375,1866.6300048828125,12.819999694824219
2023-09-15,4450.31982421875,13708.330078125,34618.23828125,1847.030029296875,13.789999961853027
2023-09-18,4453.52978515625,13710.240234375,34624.30078125,1834.300048828125,14.0
2023-09-19,4443.9501953125,13678.1904296875,34517.73046875,1826.530029296875,14.109999656677246
2023-09-20,4402.2001953125,13469.1298828125,34440.87890625,1810.0999755859375,15.140000343322754
2023-09-21,4330.0,13223.98046875,34070.421875,1781.8299560546875,17.540000915527344
2023-09-22,4320.06005859375,13211.8095703125,33963.83984375,1776.5,17.200000762939453
2023-09-25,4337.43994140625,13271.3203125,34006.87890625,1784.239990234375,16.899999618530273
2023-09-26,4273.52978515625,13063.6103515625,33618.87890625,1761.6099853515625,18.940000534057617
2023-09-27,4274.509765625,13092.849609375,33550.26953125,1778.9000244140625,18.219999313354492
2023-09-28,4299.7001953125,13201.2802734375,33666.33984375,1794.31005859375,17.34000015258789
2023-09-29,4288.0498046875,13219.3203125,33507.5,1785.0999755859375,17.520000457763672
2023-10-02,4288.39013671875,13307.76953125,33433.3515625,1756.8199462890625,17.610000610351562
2023-10-03,4229.4501953125,13059.4697265625,33002.37890625,1727.1500244140625,19.780000686645508
2023-10-04,4263.75,13236.009765625,33129.55078125,1729.010009765625,18.579999923706055
2023-10-05,4258.18994140625,13219.830078125,33119.5703125,1731.510009765625,18.489999771118164
2023-10-06,4308.5,13431.33984375,33407.578125,1745.56005859375,17.450000762939453
2023-10-09,4335.66015625,13484.240234375,33604.6484375,1755.989990234375,17.700000762939453
2023-10-10,4358.240234375,13562.83984375,33739.30078125,1775.949951171875,17.030000686645508
2023-10-11,4376.9501953125,13659.6796875,33804.87109375,1773.300048828125,16.09000015258789
2023-10-12,4349.60986328125,13574.2197265625,33631.140625,1734.25,16.690000534057617
2023-10-13,4327.77978515625,13407.23046875,33670.2890625,1719.7099609375,19.31999969482422
2023-10-16,4373.6298828125,13567.98046875,33984.5390625,1747.06005859375,17.209999084472656
2023-10-17,4373.2001953125,13533.75,33997.6484375,1766.050048828125,17.8799991607666
2023-10-18,4314.60009765625,13314.2998046875,33665.078125,1728.81005859375,19.219999313354492
2023-10-19,4278.0,13186.1796875,33414.171875,1702.699951171875,21.399999618530273
2023-10-20,4224.16015625,12983.8095703125,33127.28125,1680.7900390625,21.709999084472656
2023-10-23,4217.0400390625,13018.330078125,32936.41015625,1665.8800048828125,20.3700008392334
2023-10-24,4247.68017578125,13139.8701171875,33141.37890625,1679.5,18.969999313354492
2023-10-25,4186.77001953125,12821.2197265625,33035.9296875,1651.4300537109375,20.190000534057617
2023-10-26,4137.22998046875,12595.6103515625,32784.30078125,1657.0,20.68000030517578
2023-10-27,4117.3701171875,12643.009765625,32417.58984375,1636.93994140625,21.270000457763672
2023-10-30,4166.81982421875,12789.48046875,32928.9609375,1647.2900390625,19.75
2023-10-31,4193.7998046875,12851.240234375,33052.87109375,1662.280029296875,18.139999389648438
2023-11-01,4237.85986328125,13061.4697265625,33274.578125,1669.699951171875,16.8700008392334
2023-11-02,4317.77978515625,13294.1904296875,33839.078125,1714.2099609375,15.65999984741211
2023-11-03,4358.33984375,13478.2802734375,34061.3203125,1760.699951171875,14.90999984741211
2023-11-06,4365.97998046875,13518.7802734375,34095.859375,1737.93994140625,14.890000343322754
2023-11-07,4378.3798828125,13639.8603515625,34152.6015625,1733.1500244140625,14.8100004196167
2023-11-08,4382.77978515625,13650.41015625,34112.26953125,1714.0699462890625,14.449999809265137
2023-11-09,4347.35009765625,13521.4501953125,33891.94140625,1687.239990234375,15.289999961853027
2023-11-10,4415.240234375,13798.1103515625,34283.1015625,1705.3199462890625,14.170000076293945
2023-11-13,4411.5498046875,13767.740234375,34337.87109375,1705.5,14.760000228881836
2023-11-14,4495.7001953125,14094.3798828125,34827.69921875,1798.3199462890625,14.15999984741211
2023-11-15,4502.8798828125,14103.83984375,34991.2109375,1801.219970703125,14.180000305175781
2023-11-16,4508.240234375,14113.669921875,34945.46875,1773.760009765625,14.319999694824219
2023-11-17,4514.02001953125,14125.48046875,34947.28125,1797.77001953125,13.800000190734863
2023-11-20,4547.3798828125,14284.5302734375,35151.0390625,1807.0799560546875,13.40999984741211
2023-11-21,4538.18994140625,14199.98046875,35088.2890625,1783.260009765625,13.350000381469727
2023-11-22,4556.6201171875,14265.8603515625,35273.03125,1795.5400390625,12.850000381469727
2023-11-24,4559.33984375,14250.849609375,35390.1484375,1807.5,12.460000038146973
2023-11-27,4550.43017578125,14241.01953125,35333.46875,1801.1500244140625,12.6899995803833
2023-11-28,4554.89013671875,14281.759765625,35416.98046875,1792.81005859375,12.6899995803833
2023-11-29,4550.580078125,14258.490234375,35430.421875,1803.81005859375,12.979999542236328
2023-11-30,4567.7998046875,14226.2197265625,35950.890625,1809.02001953125,12.920000076293945
2023-12-01,4594.6298828125,14305.0302734375,36245.5,1862.6400146484375,12.630000114440918
2023-12-04,4569.77978515625,14185.490234375,36204.44140625,1882.02001953125,13.079999923706055
2023-12-05,4567.18017578125,14229.91015625,36124.55859375,1856.0400390625,12.850000381469727
2023-12-06,4549.33984375,14146.7099609375,36054.4296875,1852.050048828125,12.970000267028809
2023-12-07,4585.58984375,14339.990234375,36117.37890625,1868.25,13.0600004196167
2023-12-08,4604.3701171875,14403.9697265625,36247.87109375,1880.8199462890625,12.350000381469727
2023-12-11,4622.43994140625,14432.490234375,36404.9296875,1883.6800537109375,12.630000114440918
2023-12-12,4643.7001953125,14533.400390625,36577.94140625,1881.27001953125,12.069999694824219
2023-12-13,4707.08984375,14733.9599609375,37090.23828125,1947.510009765625,12.1899995803833
2023-12-14,4719.5498046875,14761.5595703125,37248.3515625,2000.510009765625,12.479999542236328
2023-12-15,4719.18994140625,14813.919921875,37305.16015625,1985.1300048828125,12.279999732971191
